enzyme,color,Protein accession number,Environment group,Exact sampling location,lat,lon
PHB depolymerase (AAB40611.1),#8E63CE,WP_228482490.1,Marine host-associated⬡,"Brazil: Rio de Janeiro, Arraial do Cabo; local setting: ocean",-22.58,-42.02
PHB depolymerase (AAB40611.1),#8E63CE,WP_287205260.1,Deep seawater▼,"Pacific Ocean: North Pacific Gyre, Station ALOHA; local setting: ENVO:00000244|ENVO:00000211|ENVO:00000569|ENVO:00002023; depth: 4000m",22.75,-158.0
PHB depolymerase (AAB40611.1),#8E63CE,WP_339981228.1,Surface seawater●,Atlantic Ocean; depth: 0-5 m,31.4,-64.1
PHB depolymerase (AAB40611.1),#8E63CE,WP_235374218.1,Marine host-associated⬡,Belize: Carrie Bow Cay; local setting: offshore reef,16.79,-88.07
PHB depolymerase (AAB40611.1),#8E63CE,WP_300421023.1,Surface seawater●,Indian Ocean,-27.98,63.25
PHB depolymerase (AAB40611.1),#8E63CE,WP_348708929.1,Surface seawater●,Indian Ocean,-8.0045,53.2943
PHB depolymerase (AAB40611.1),#8E63CE,WP_235382668.1,Marine host-associated⬡,Belize: Carrie Bow Cay; local setting: offshore reef,16.79,-88.07
PHB depolymerase (AAB40611.1),#8E63CE,WP_294410258.1,Surface seawater●,"Pacific Ocean: North Pacific Gyre, Station ALOHA; local setting: ENVO:00000209|ENVO:00000618; depth: 150m",24.65,-156.48
PHB depolymerase (AAB40611.1),#8E63CE,WP_130167674.1,Marine host-associated⬡,Atlantic Ocean: North Atlantic,24.9963,-67.0246
PHB depolymerase (AAB40611.1),#8E63CE,WP_300358640.1,Surface seawater●,Indian Ocean,-33.55,39.89
PHB depolymerase (AAB40611.1),#8E63CE,WP_462178957.1,Marine host-associated⬡,Colombia:Buenaventura; local setting: ENVO:00000316|ENVO:00010672,3.873662,-77.290647
PHB depolymerase (AAB40611.1),#8E63CE,WP_462167324.1,Marine host-associated⬡,Colombia:Iscuande; local setting: ENVO:00000316|ENVO:00010672,2.631577,-78.041853
PHB depolymerase (AAB40611.1),#8E63CE,WP_417698834.1,Plastisphere / marine biofilm✕,China: Qingdao; local setting: Enrichment culture biofilms; depth: 1,36.04,120.26
PHB depolymerase (AAB40611.1),#8E63CE,WP_462168155.1,Marine host-associated⬡,Colombia:Iscuande; local setting: ENVO:00000316|ENVO:00010672,2.631577,-78.041853
PHB depolymerase (AAB40611.1),#8E63CE,WP_488035880.1,Marine sediment■,Pacific Ocean,22.75,-158.0
PHB depolymerase (AAB40611.1),#8E63CE,WP_235377235.1,Marine host-associated⬡,"USA: FL, Keys FRRP 1177; local setting: offshore reef",24.59,-81.4
PHB depolymerase (AAB40611.1),#8E63CE,WP_487054184.1,Plastisphere / marine biofilm✕,"Japan:Kagoshima, Kagoshima, Kagoshima Bay; local setting: shoreline [ENVO:00000486]; depth: 22.9",31.557,130.564
PHB depolymerase (AAB40611.1),#8E63CE,WP_487117931.1,Plastisphere / marine biofilm✕,"Japan:Shimane, Oki, Sea of Japan; local setting: shoreline [ENVO:00000486]; depth: 13",36.178,133.277
PHB depolymerase (AAB40611.1),#8E63CE,WP_291610914.1,Deep seawater▼,"Pacific Ocean: North Pacific Gyre, Station ALOHA; local setting: ENVO:00000244|ENVO:00000211|ENVO:00000569|ENVO:00002023; depth: 4000m",22.75,-158.0
PHB depolymerase (AAB40611.1),#8E63CE,WP_239845563.1,Marine host-associated⬡,"Australia: NSW, Port Stephens",-32.7171,152.1049
PHB depolymerase (AAB40611.1),#8E63CE,WP_215964367.1,Plastisphere / marine biofilm✕,"USA:Massachusetts, Nahant, Canoe Beach; local setting: intertidal zone [ENVO:00000316]; depth: 0-2 m",42.25,-70.54
PHB depolymerase (AAB40611.1),#8E63CE,WP_487539752.1,Marine sediment■,Pacific Ocean,22.75,-158.0
PHB depolymerase (AAB40611.1),#8E63CE,WP_303521422.1,Intertidal / coastal seawater★,"USA:Canoe Beach, Nahant, MA; local setting: ENVO:01000687; depth: 0",42.42,-70.907
PHB depolymerase (AAB40611.1),#8E63CE,WP_487093717.1,Plastisphere / marine biofilm✕,"Japan:Shimane, Oki, Sea of Japan; local setting: shoreline [ENVO:00000486]; depth: 13",36.178,133.277
PHB depolymerase (AAB40611.1),#8E63CE,WP_269970245.1,Deep seawater▼,Pacific Ocean: The Mariana Trench; local setting: ocean trench ENVO:00000275; depth: 10890 m,11.4,142.4
PHB depolymerase (AAB40611.1),#8E63CE,WP_353537636.1,Plastisphere / marine biofilm✕,"Japan:Kagoshima, Kagoshima, Kagoshima Bay; local setting: shoreline [ENVO:00000486]; depth: 5.2",31.557,130.564
PHB depolymerase (AAB40611.1),#8E63CE,WP_353517955.1,Plastisphere / marine biofilm✕,"Japan:Shimane, Oki, Sea of Japan; local setting: shoreline [ENVO:00000486]; depth: 13",36.178,133.277
PHB depolymerase (AAB40611.1),#8E63CE,WP_311580946.1,Surface seawater●,"Spain:Blanes,Blanes Bay Microbial Observatory; local setting: ENVO:01000047; depth: surface",41.4,2.48
PHB depolymerase (AAB40611.1),#8E63CE,WP_487943909.1,Marine sediment■,Pacific Ocean,22.75,-158.0
PHB depolymerase (AAB40611.1),#8E63CE,WP_375185160.1,Surface seawater●,China: South China Sea; local setting: marine69; depth: 1000m,17.04,110.0
PHB depolymerase (AAB40611.1),#8E63CE,WP_291624144.1,Deep seawater▼,"Pacific Ocean: North Pacific Gyre, Station ALOHA; local setting: ENVO:00000244|ENVO:00000211|ENVO:00000569|ENVO:00002023; depth: 4000m",22.75,-158.0
PHB depolymerase (AAB40611.1),#8E63CE,WP_353410179.1,Plastisphere / marine biofilm✕,"Japan:Hiroshima, Onomichi, Seto Inland Sea; local setting: shoreline [ENVO:00000486]; depth: 7.7",34.365,133.217
PHB depolymerase (AAB40611.1),#8E63CE,WP_216054076.1,Plastisphere / marine biofilm✕,"USA:Massachusetts, Nahant, Canoe Beach; local setting: intertidal zone [ENVO:00000316]; depth: 0-2 m",42.25,-70.54
PHB depolymerase (AAB40611.1),#8E63CE,WP_490032689.1,Plastisphere / marine biofilm✕,Japan:Sagami Bay; local setting: Cold seep microbiome; depth: -853m,35.09,139.14
Laccase (UVG67878.1),#7B3E1B,WP_298906696.1,Marine host-associated⬡,China,37.562,122.121
Laccase (UVG67878.1),#7B3E1B,WP_201628412.1,Polar sea ice / cryosphere◆,"Sea of Japan, Russia",43.5,135.5
Laccase (UVG67878.1),#7B3E1B,WP_372828779.1,Intertidal sediment / beach sand▲,China: ZhouShan,29.928,122.422
Laccase (UVG67878.1),#7B3E1B,WP_238036692.1,Marine host-associated⬡,China: Fujian,24.61,118.3
Laccase (UVG67878.1),#7B3E1B,WP_372843729.1,Intertidal sediment / beach sand▲,China: ZhouShan,29.948,122.407
Laccase (UVG67878.1),#7B3E1B,WP_371532333.1,Surface seawater●,Arctic Ocean:North of Greenland,79.8,1.76
Laccase (UVG67878.1),#7B3E1B,WP_198327676.1,Surface seawater●,Svalbard,78.92,11.95
Laccase (UVG67878.1),#7B3E1B,WP_223332682.1,Surface seawater●,Israel: Gulf of Aqaba,29.501,34.917
Laccase (UVG67878.1),#7B3E1B,WP_277078041.1,Surface seawater●,Antarctica: West Antarctic Peninsula,-65.8776,-68.2823
Laccase (UVG67878.1),#7B3E1B,WP_058025816.1,Deep-sea / chemosynthetic sediment⬟,Pacific Ocean: East Pacific Rise,-3.1,-102.55
Laccase (UVG67878.1),#7B3E1B,WP_320154178.1,Surface seawater●,Svalbard,78.92,11.95
Laccase (UVG67878.1),#7B3E1B,WP_455705530.1,Surface seawater●,Indonesia: Makassar Strait,-1.44,117.24
Laccase (UVG67878.1),#7B3E1B,WP_201620353.1,Polar sea ice / cryosphere◆,"Sea of Japan, Russia",43.5,135.5
Laccase (UVG67878.1),#7B3E1B,WP_289000163.1,Marine host-associated⬡,China,37.562,122.121
Laccase (UVG67878.1),#7B3E1B,WP_472781948.1,Marine host-associated⬡,South Korea,37.07,131.23
Laccase (UVG67878.1),#7B3E1B,WP_289047145.1,Marine host-associated⬡,China,37.562,122.121
Laccase (UVG67878.1),#7B3E1B,WP_160022867.1,Deep-sea / chemosynthetic sediment⬟,Atlantic Ocean: Walvis Ridge Sector,-33.4,2.35
Laccase (UVG67878.1),#7B3E1B,WP_420230577.1,Marine host-associated⬡,Australia:Adelaide,-35.0328,138.517
Laccase (UVG67878.1),#7B3E1B,WP_277350418.1,Surface seawater●,"Sea of Japan, Russia",43.5,135.5
Laccase (UVG67878.1),#7B3E1B,WP_298810856.1,Marine host-associated⬡,China,37.562,122.121
Laccase (UVG67878.1),#7B3E1B,WP_379544292.1,Marine host-associated⬡,Denmark: Hirtshals,57.5949,9.9609
Laccase (UVG67878.1),#7B3E1B,WP_290177258.1,Marine host-associated⬡,Atlantic Ocean,43.282,-49.121
Laccase (UVG67878.1),#7B3E1B,WP_339343431.1,Surface seawater●,Not reported,45.3143,12.5083
Laccase (UVG67878.1),#7B3E1B,WP_320157573.1,Surface seawater●,"Sea of Japan, Russia",43.5,135.5
Laccase (UVG67878.1),#7B3E1B,WP_425355847.1,Marine host-associated⬡,USA: Washington state,48.3937,-124.734
Laccase (UVG67878.1),#7B3E1B,WP_474738338.1,Marine host-associated⬡,China:Rongcheng,37.17,122.568
Laccase (UVG67878.1),#7B3E1B,WP_474726537.1,Marine host-associated⬡,China:Rongcheng,37.17,122.568
Laccase (UVG67878.1),#7B3E1B,WP_102094145.1,Polar sea ice / cryosphere◆,"USA: near Point Barrow, Alaska",71.3,-157.0
Laccase (UVG67878.1),#7B3E1B,WP_290176533.1,Marine host-associated⬡,Atlantic Ocean,43.282,-49.121
Laccase (UVG67878.1),#7B3E1B,WP_296211063.1,Surface seawater●,Not reported,45.3143,12.5083
Laccase (UVG67878.1),#7B3E1B,WP_224737936.1,Marine host-associated⬡,Atlantic Ocean,14.86,-48.24
Laccase (UVG67878.1),#7B3E1B,WP_269117530.1,Marine host-associated⬡,China: Fujian,24.61,118.3
Laccase (UVG67878.1),#7B3E1B,WP_465183798.1,Surface seawater●,"Antarctica: Greenwich Bay, South Shetland Islands",-62.4714,-59.6967
Laccase (UVG67878.1),#7B3E1B,WP_347162359.1,Intertidal / coastal seawater★,"USA:New Hampshire, Durham",42.9017,-71.3385
Laccase (UVG67878.1),#7B3E1B,WP_320108710.1,Surface seawater●,Svalbard,78.92,11.95
Laccase (UVG67878.1),#7B3E1B,WP_186475538.1,Surface seawater●,Not reported,23.4183,37.245
Laccase (UVG67878.1),#7B3E1B,WP_320157780.1,Surface seawater●,"Sea of Japan, Russia",43.5,135.5
Laccase (UVG67878.1),#7B3E1B,WP_299185249.1,Marine host-associated⬡,China,37.562,122.121
Laccase (UVG67878.1),#7B3E1B,WP_323128914.1,Surface seawater●,Arctic Ocean,79.8,1.76
Laccase (UVG67878.1),#7B3E1B,WP_413190037.1,Polar sea ice / cryosphere◆,Arctic Ocean,79.7913,1.7609
Laccase (UVG67878.1),#7B3E1B,WP_367103962.1,Marine host-associated⬡,China,37.562,122.121
Laccase (UVG67878.1),#7B3E1B,WP_289116025.1,Deep seawater▼,Atlantic Ocean,-22.97,-36.95
Laccase (UVG67878.1),#7B3E1B,WP_367109097.1,Marine host-associated⬡,China,37.562,122.121
Laccase (UVG67878.1),#7B3E1B,WP_275691788.1,Marine sediment■,Svalbard,79.0354,11.2836
Laccase (UVG67878.1),#7B3E1B,WP_367106850.1,Marine host-associated⬡,China,37.562,122.121
Laccase (UVG67878.1),#7B3E1B,WP_289116019.1,Deep seawater▼,Atlantic Ocean,-22.97,-36.95
Laccase (UVG67878.1),#7B3E1B,WP_223334656.1,Surface seawater●,Israel: Gulf of Aqaba,29.501,34.917
Laccase (UVG67878.1),#7B3E1B,WP_240216656.1,Marine sediment■,Svalbard,79.0354,11.2836
Laccase (UVG67878.1),#7B3E1B,WP_367111693.1,Marine host-associated⬡,China,37.562,122.121
Laccase (UVG67878.1),#7B3E1B,WP_472781992.1,Marine host-associated⬡,South Korea,37.07,131.23
Laccase (UVG67878.1),#7B3E1B,WP_201593649.1,Surface seawater●,"Sea of Japan, Russia",43.5,135.5
Laccase (UVG67878.1),#7B3E1B,WP_299069681.1,Marine host-associated⬡,China,37.562,122.121
Laccase (UVG67878.1),#7B3E1B,WP_348654209.1,Surface seawater●,Not reported,-30.1367,-43.2899
Laccase (UVG67878.1),#7B3E1B,WP_284719438.1,Marine host-associated⬡,"India: Near Henry Lawrence island, Andaman Sea",12.1349,93.0676
Laccase (UVG67878.1),#7B3E1B,WP_298980165.1,Deep seawater▼,Atlantic Ocean,20.0,-52.63
Laccase (UVG67878.1),#7B3E1B,WP_300406665.1,Deep seawater▼,Pacific Ocean,15.91,-124.49
Laccase (UVG67878.1),#7B3E1B,WP_474735469.1,Surface seawater●,Mediterranean Sea,43.29,8.1
Laccase (UVG67878.1),#7B3E1B,WP_299330080.1,Marine host-associated⬡,China,37.562,122.121
Laccase (UVG67878.1),#7B3E1B,WP_435979993.1,Marine host-associated⬡,South Korea,37.07,131.23
Laccase (UVG67878.1),#7B3E1B,WP_305899991.1,Marine host-associated⬡,South Korea,37.07,131.23
Laccase (UVG67878.1),#7B3E1B,WP_435949448.1,Marine host-associated⬡,South Korea,37.07,131.23
Laccase (UVG67878.1),#7B3E1B,WP_298974489.1,Marine host-associated⬡,China,37.562,122.121
Laccase (UVG67878.1),#7B3E1B,WP_298739300.1,Marine host-associated⬡,China,37.562,122.121
Laccase (UVG67878.1),#7B3E1B,WP_455706373.1,Surface seawater●,Indonesia: Makassar Strait,-1.44,117.24
Laccase (UVG67878.1),#7B3E1B,WP_317053546.1,Marine host-associated⬡,India: Palk bay,9.29224,79.2223
Laccase (UVG67878.1),#7B3E1B,WP_299330535.1,Marine host-associated⬡,China,37.562,122.121
Laccase (UVG67878.1),#7B3E1B,WP_430737341.1,Intertidal / coastal seawater★,China: Dalian,38.914,121.615
Laccase (UVG67878.1),#7B3E1B,WP_353104189.1,Marine host-associated⬡,Saudi Arabia: Riyadh,24.1455,47.3119
Laccase (UVG67878.1),#7B3E1B,WP_288996651.1,Marine host-associated⬡,China,37.562,122.121
Laccase (UVG67878.1),#7B3E1B,WP_288999309.1,Marine host-associated⬡,China,37.562,122.121
Laccase (UVG67878.1),#7B3E1B,WP_238062109.1,Marine host-associated⬡,China: Fujian,24.61,118.3
Laccase (UVG67878.1),#7B3E1B,WP_284719828.1,Marine host-associated⬡,"India: Near Henry Lawrence island, Andaman Sea",12.1349,93.0676
Laccase (UVG67878.1),#7B3E1B,WP_319822887.1,Intertidal / coastal seawater★,Portugal: Aveiro,40.6084,-8.74803
Laccase (UVG67878.1),#7B3E1B,WP_487990687.1,Surface seawater●,Atlantic Ocean,-50.35,-39.82
Laccase (UVG67878.1),#7B3E1B,WP_296821200.1,Deep-sea / chemosynthetic sediment⬟,Atlantic Ocean: Gulf of Cadiz,35.65,-7.33
Laccase (UVG67878.1),#7B3E1B,WP_266326050.1,Marine sediment■,"USA: Oso Bay, Corpus Christi, TX",27.7089,-97.3359
Laccase (UVG67878.1),#7B3E1B,WP_113065197.1,Surface seawater●,China,21.49,108.48
Laccase (UVG67878.1),#7B3E1B,WP_301495760.1,Mangrove sediment✚,China: Shenzhen,22.49,114.58
Laccase (UVG67878.1),#7B3E1B,WP_225666578.1,Deep-sea / chemosynthetic sediment⬟,Arctic Ocean: Canada Basin,81.47,-164.94
Laccase (UVG67878.1),#7B3E1B,WP_396586513.1,Marine host-associated⬡,Sweden: Harnosand,62.6376,17.9395
Laccase (UVG67878.1),#7B3E1B,WP_266278385.1,Marine sediment■,"USA: Oso Bay, Corpus Christi, TX",27.7089,-97.3359
MCL PHA depolymerase (AAQ72538.1),#F079BA,WP_415754049.1,Marine host-associated⬡,"Antarctica: Adelaide Island, South Cove",-67.34,-68.08
MCL PHA depolymerase (AAQ72538.1),#F079BA,WP_341706354.1,Intertidal / coastal seawater★,Australia: Brisbane,-27.329583,153.087083
MCL PHA depolymerase (AAQ72538.1),#F079BA,WP_324732504.1,Intertidal sediment / beach sand▲,"Antarctica: Fildes Peninsula, King George Island",-62.21,-58.94
MCL PHA depolymerase (AAQ72538.1),#F079BA,WP_475177401.1,Surface seawater●,"USA: Atlantic ocean at Key West, Florida",24.55,-81.78
MCL PHA depolymerase (AAQ72538.1),#F079BA,WP_165773227.1,Marine sediment■,Saudi Arabia: 10 kilometers north of Thuwal,22.3897778,39.1355556
PETase (UUT36763.1),#FF0808,WP_328185892.1,Deep seawater▼,Brazil:Campos basin; 1200m,-21.52,-39.49
PETase (UUT36763.1),#FF0808,WP_223655416.1,Deep-sea / chemosynthetic sediment⬟,China: the South China Sea,18.0,116.0
PETase (UUT36763.1),#FF0808,WP_169406150.1,Deep seawater▼,China: Nanhai,18.0,116.0
PETase (UUT36763.1),#FF0808,WP_373184602.1,Intertidal sediment / beach sand▲,China: ZhouShan,29.928,122.422
PETase (UUT36763.1),#FF0808,WP_328185870.1,Deep seawater▼,Brazil:Campos basin; 1200m,-21.52,-39.49
PETase (UUT36763.1),#FF0808,WP_169407362.1,Deep seawater▼,China: Nanhai,18.0,116.0
PETase (UUT36763.1),#FF0808,WP_169407363.1,Deep seawater▼,China: Nanhai,18.0,116.0
PETase (UUT36763.1),#FF0808,WP_415055749.1,Polar sea ice / cryosphere◆,Arctic Ocean,87.4122,93.2151
PETase (UUT36763.1),#FF0808,WP_487154109.1,Plastisphere / marine biofilm✕,"Japan:Hiroshima, Onomichi, Seto Inland Sea; 7.7",34.365,133.217
PETase (UUT36763.1),#FF0808,WP_432569505.1,Marine host-associated⬡,China; 1m-1.5m,19.31,109.34
PETase (UUT36763.1),#FF0808,WP_373185656.1,Intertidal sediment / beach sand▲,China: ZhouShan,29.928,122.422
PETase (UUT36763.1),#FF0808,WP_432569504.1,Marine host-associated⬡,China; 1m-1.5m,19.31,109.34
PETase (UUT36763.1),#FF0808,WP_118131888.1,Deep-sea / chemosynthetic sediment⬟,"Mexico: Gulf of California, Big Pagoda, Millenium Falcon; 1971",27.01,-111.41
PETase (UUT36763.1),#FF0808,WP_223655417.1,Deep-sea / chemosynthetic sediment⬟,China: the South China Sea,18.0,116.0
PETase (UUT36763.1),#FF0808,WP_487155282.1,Plastisphere / marine biofilm✕,"Japan:Hiroshima, Onomichi, Seto Inland Sea; 7.7",34.365,133.217
PETase (UUT36763.1),#FF0808,WP_464382426.1,Surface seawater●,Japan:Kanagawa; 0 m,35.1955708,139.6673981
PETase (UUT36763.1),#FF0808,WP_285677831.1,Marine host-associated⬡,"Brazil: Buzios, Rio de Janeiro",-22.74,-41.88
PETase (UUT36763.1),#FF0808,WP_487156170.1,Plastisphere / marine biofilm✕,"Japan:Hiroshima, Onomichi, Seto Inland Sea; 7.7",34.365,133.217
PETase (UUT36763.1),#FF0808,WP_416398726.1,Deep-sea / chemosynthetic sediment⬟,Arctic Ocean; 1m,85.09,95.85
PETase (UUT36763.1),#FF0808,WP_290594301.1,Deep seawater▼,Pacific Ocean: South China Sea; 700 m,19.909,115.243
PETase (UUT36763.1),#FF0808,WP_460225302.1,Plastisphere / marine biofilm✕,"Japan:Hiroshima, Onomichi, Seto Inland Sea; 2.8m",34.365,133.217
PETase (UUT36763.1),#FF0808,WP_290577639.1,Deep seawater▼,Pacific Ocean: South China Sea; 700 m,19.909,115.243
PETase (UUT36763.1),#FF0808,WP_222911733.1,Deep-sea / chemosynthetic sediment⬟,Indian Ocean: Ninety East Ridge,-16.542142,89.289884
PETase (UUT36763.1),#FF0808,WP_353410588.1,Plastisphere / marine biofilm✕,"Japan:Hiroshima, Onomichi, Seto Inland Sea; 7.7",34.365,133.217
PETase (UUT36763.1),#FF0808,WP_353352583.1,Plastisphere / marine biofilm✕,"Japan:Hiroshima, Onomichi, Seto Inland Sea; 2.8",34.365,133.217
PETase (UUT36763.1),#FF0808,WP_353348434.1,Plastisphere / marine biofilm✕,"Japan:Hiroshima, Onomichi, Seto Inland Sea; 2.8",34.365,133.217
PETase (UUT36763.1),#FF0808,WP_353348446.1,Plastisphere / marine biofilm✕,"Japan:Hiroshima, Onomichi, Seto Inland Sea; 2.8",34.365,133.217
PETase (UUT36763.1),#FF0808,WP_460238364.1,Plastisphere / marine biofilm✕,"Japan:Kagoshima, Kagoshima, Kagoshima Bay; 5.05m",31.557,130.564
PETase (UUT36763.1),#FF0808,WP_475536341.1,Marine host-associated⬡,"USA: Califronia, Bodega Bay",38.333446,-123.058785
PETase (UUT36763.1),#FF0808,WP_464107832.1,Plastisphere / marine biofilm✕,"Japan:Kagoshima, Kagoshima, Kagoshima Bay; 19.1m",31.557,130.564
PETase (UUT36763.1),#FF0808,WP_460231427.1,Plastisphere / marine biofilm✕,"Japan:Hiroshima, Onomichi, Seto Inland Sea; 7.8m",34.365,133.217
PETase (UUT36763.1),#FF0808,WP_134651899.1,Marine host-associated⬡,10m depth in seawater,16.22,108.22
PETase (UUT36763.1),#FF0808,WP_464107830.1,Plastisphere / marine biofilm✕,"Japan:Kagoshima, Kagoshima, Kagoshima Bay; 19.1m",31.557,130.564
PETase (UUT36764.1),#E69F00,WP_328185892.1,Deep seawater▼,"Brazil:Campos basin, depth 1200m, 21.520 S 39.490 W",-21.52,-39.49
PETase (UUT36764.1),#E69F00,WP_417547160.1,Plastisphere / marine biofilm✕,"China: Qingdao, depth 1, 36.04 N 120.26 E",36.04,120.26
PETase (UUT36764.1),#E69F00,WP_335616960.1,Marine sediment■,"Arctic Ocean: The Barents Sea, 78.39 N 42.11 E",78.39,42.11
PETase (UUT36764.1),#E69F00,WP_223655416.1,Deep-sea / chemosynthetic sediment⬟,China: the South China Sea,18.0,116.0
PETase (UUT36764.1),#E69F00,WP_335610197.1,Marine sediment■,"Arctic Ocean: The Barents Sea, 78.20 N 42.10 E",78.2,42.1
PETase (UUT36764.1),#E69F00,WP_415055749.1,Polar sea ice / cryosphere◆,"Arctic Ocean, 87.4122 N 93.2151 E | Arctic Ocean, 87.3239 N 107.4423 E",87.4122,93.2151
PETase (UUT36764.1),#E69F00,WP_415055749.1,Polar sea ice / cryosphere◆,"Arctic Ocean, 87.4122 N 93.2151 E | Arctic Ocean, 87.3239 N 107.4423 E",87.3239,107.4423
PETase (UUT36764.1),#E69F00,WP_335616959.1,Marine sediment■,"Arctic Ocean: The Barents Sea, 78.39 N 42.11 E",78.39,42.11
PETase (UUT36764.1),#E69F00,WP_169407362.1,Deep seawater▼,China: Nanhai,18.0,116.0
PETase (UUT36764.1),#E69F00,WP_150299537.1,Intertidal / coastal seawater★,"Canada: Logy Bay | Arctic Ocean: The Barents Sea, 78.39 N 42.11 E | China",78.39,42.11
PETase (UUT36764.1),#E69F00,WP_328185870.1,Deep seawater▼,"Brazil:Campos basin, depth 1200m, 21.520 S 39.490 W",-21.52,-39.49
PETase (UUT36764.1),#E69F00,WP_169407363.1,Deep seawater▼,China: Nanhai,18.0,116.0
PETase (UUT36764.1),#E69F00,WP_341708199.1,Intertidal / coastal seawater★,"Australia:Brisbane, depth 0, 27.329583 S 153.087083 E",-27.329583,153.087083
PETase (UUT36764.1),#E69F00,WP_353389325.1,Plastisphere / marine biofilm✕,"Japan:Hiroshima, Onomichi, Seto Inland Sea, depth 2.8, 34.365 N 133.217 E | Atlantic Ocean",34.365,133.217
PETase (UUT36764.1),#E69F00,WP_335610199.1,Marine sediment■,"Arctic Ocean: The Barents Sea, 78.20 N 42.10 E",78.2,42.1
PETase (UUT36764.1),#E69F00,WP_483324069.1,Deep-sea / chemosynthetic sediment⬟,"Arctic Ocean: Gakkel Ridge, depth 0.74 mbsf, 73.763167 N 8.464000 E | Arctic Ocean: Gakkel Ridge, 73.763167 N 8.464000 E | Russia: The Pechora Sea, 69.03 N 57.36 E | Canada: Arctic Ocean, Dease Strait, depth 2.5 m, 69.03 N 105.33 W | Antarctica: Ardley Cove, Fildes Peninsula, King George Island, depth 0 m, 62.22 S 58.91 W",73.763167,8.464
PETase (UUT36764.1),#E69F00,WP_483324069.1,Deep-sea / chemosynthetic sediment⬟,"Arctic Ocean: Gakkel Ridge, depth 0.74 mbsf, 73.763167 N 8.464000 E | Arctic Ocean: Gakkel Ridge, 73.763167 N 8.464000 E | Russia: The Pechora Sea, 69.03 N 57.36 E | Canada: Arctic Ocean, Dease Strait, depth 2.5 m, 69.03 N 105.33 W | Antarctica: Ardley Cove, Fildes Peninsula, King George Island, depth 0 m, 62.22 S 58.91 W",69.03,57.36
PETase (UUT36764.1),#E69F00,WP_483324069.1,Deep-sea / chemosynthetic sediment⬟,"Arctic Ocean: Gakkel Ridge, depth 0.74 mbsf, 73.763167 N 8.464000 E | Arctic Ocean: Gakkel Ridge, 73.763167 N 8.464000 E | Russia: The Pechora Sea, 69.03 N 57.36 E | Canada: Arctic Ocean, Dease Strait, depth 2.5 m, 69.03 N 105.33 W | Antarctica: Ardley Cove, Fildes Peninsula, King George Island, depth 0 m, 62.22 S 58.91 W",69.03,-105.33
PETase (UUT36764.1),#E69F00,WP_483324069.1,Deep-sea / chemosynthetic sediment⬟,"Arctic Ocean: Gakkel Ridge, depth 0.74 mbsf, 73.763167 N 8.464000 E | Arctic Ocean: Gakkel Ridge, 73.763167 N 8.464000 E | Russia: The Pechora Sea, 69.03 N 57.36 E | Canada: Arctic Ocean, Dease Strait, depth 2.5 m, 69.03 N 105.33 W | Antarctica: Ardley Cove, Fildes Peninsula, King George Island, depth 0 m, 62.22 S 58.91 W",-62.22,-58.91
PETase (UUT36764.1),#E69F00,WP_483324068.1,Deep-sea / chemosynthetic sediment⬟,"Arctic Ocean: Gakkel Ridge, depth 0.74 mbsf, 73.763167 N 8.464000 E | Arctic Ocean: Gakkel Ridge, 73.763167 N 8.464000 E | Russia: The Pechora Sea, 69.03 N 57.37 E | Russia: The Pechora Sea, 69.03 N 57.36 E | Canada: Arctic Ocean, Dease Strait, depth 2.5 m, 69.03 N 105.33 W | Antarctica: Ardley Cove, Fildes Peninsula, King George Island, depth 0 m, 62.22 S 58.91 W",73.763167,8.464
PETase (UUT36764.1),#E69F00,WP_483324068.1,Deep-sea / chemosynthetic sediment⬟,"Arctic Ocean: Gakkel Ridge, depth 0.74 mbsf, 73.763167 N 8.464000 E | Arctic Ocean: Gakkel Ridge, 73.763167 N 8.464000 E | Russia: The Pechora Sea, 69.03 N 57.37 E | Russia: The Pechora Sea, 69.03 N 57.36 E | Canada: Arctic Ocean, Dease Strait, depth 2.5 m, 69.03 N 105.33 W | Antarctica: Ardley Cove, Fildes Peninsula, King George Island, depth 0 m, 62.22 S 58.91 W",69.03,57.37
PETase (UUT36764.1),#E69F00,WP_483324068.1,Deep-sea / chemosynthetic sediment⬟,"Arctic Ocean: Gakkel Ridge, depth 0.74 mbsf, 73.763167 N 8.464000 E | Arctic Ocean: Gakkel Ridge, 73.763167 N 8.464000 E | Russia: The Pechora Sea, 69.03 N 57.37 E | Russia: The Pechora Sea, 69.03 N 57.36 E | Canada: Arctic Ocean, Dease Strait, depth 2.5 m, 69.03 N 105.33 W | Antarctica: Ardley Cove, Fildes Peninsula, King George Island, depth 0 m, 62.22 S 58.91 W",69.03,57.36
PETase (UUT36764.1),#E69F00,WP_483324068.1,Deep-sea / chemosynthetic sediment⬟,"Arctic Ocean: Gakkel Ridge, depth 0.74 mbsf, 73.763167 N 8.464000 E | Arctic Ocean: Gakkel Ridge, 73.763167 N 8.464000 E | Russia: The Pechora Sea, 69.03 N 57.37 E | Russia: The Pechora Sea, 69.03 N 57.36 E | Canada: Arctic Ocean, Dease Strait, depth 2.5 m, 69.03 N 105.33 W | Antarctica: Ardley Cove, Fildes Peninsula, King George Island, depth 0 m, 62.22 S 58.91 W",69.03,-105.33
